cid,card_number,pack_name,rarity_id,rarity_name
4007,AC02-JP000,アニメーション クロニクル 2022,36,PSE (プリズマティックシークレットレア仕様)
4007,,25th ANNIVERSARY ULTIMATE KAIBA SET『青眼の白龍』（シークレットレア仕様）3枚セット,5,SE (シークレットレア仕様)
4007,KC01-JP004,25th ANNIVERSARY ULTIMATE KAIBA SET,4,UR (ウルトラレア仕様)
4007,HC01-JP001,HISTORY ARCHIVE COLLECTION,4,UR (ウルトラレア仕様)
4007,DR01-JPB01,デュエルロワイヤル　デッキセットEX[ 青眼の白龍 ],1,N (ノーマル仕様)
4007,DR01-JPB01,デュエルロワイヤル　デッキセットEX[ 青眼の白龍 ],4,UR (ウルトラレア仕様)
4007,PGB1-JP012,PRISMATIC GOD BOX SPECIAL PACK,6,UL (アルティメットレア仕様)
4007,PGB1-JP012,PRISMATIC GOD BOX SPECIAL PACK,29,M+UR (ミレニアムウルトラレア仕様)
4007,2020-EN001,DUEL LINKS KC GRAND TOURNAMENT,15,EXSE (エクストラシークレットレア仕様)
4007,PSEC-JP001,プリズマティックシークレットレア 「青眼の白龍」GETキャンペーン,36,PSE (プリズマティックシークレットレア仕様)
4007,LGB1-JPS02,LEGENDARY GOLD BOX,38,PG (プレミアムゴールドレア仕様)
4007,20CP-JPS02,20thシークレットレア SPECIAL PACK,35,20th SE (20thシークレットレア仕様)
4007,20TH-JPC58,20th ANNIVERSARY LEGEND COLLECTION,5,SE (シークレットレア仕様)
4007,20TH-JPC58,20th ANNIVERSARY LEGEND COLLECTION,11,P+UR (パラレル仕様ウルトラレア)
4007,2018-JPP01,Yu-Gi-Oh! WORLD CHAMPIONSHIP 2018 来場記念カード,35,20th SE (20thシークレットレア仕様)
4007,DP20-JP006,デュエリストパック － レジェンドデュエリスト編３ －,1,N (ノーマル仕様)
4007,LG02-JP001,遊戯王デュエルリンクス レジェンドデッキガイド 闇遊戯VS海馬瀬人 同梱カード,9,P (パラレル仕様)
4007,20AP-JP000,20th ANNIVERSARY PACK 1st WAVE,33,P+HR (パラレル仕様ホログラフィックレア)
4007,SCB1-JPP01,ブルーアイズを手にいれろ！クリア特典キャンペーン！！,4,UR (ウルトラレア仕様)
4007,SDKS-JP009,ストラクチャーデッキ － 海馬瀬人 －,9,P (パラレル仕様)
4007,MVPI-JP002,劇場版 遊戯王 THE DARK SIDE OF DIMENSIONS CoCo壱番屋特典カード 第2弾,21,KC (KC仕様)
4007,JMPR-JP001,DVD付分冊マンガ講座 ジャンプ流！ Vol.8 付録カード,24,KC+UR (KCウルトラレア仕様)
4007,2015-JPP01,Yu-Gi-Oh! WORLD CHAMPIONSHIP 2015 来場者特典カード,26,M (ミレニアム仕様)
4007,DP16-JP015,デュエリストパック － 決闘都市編 －,4,UR (ウルトラレア仕様)
4007,15AX-JPY07,15周年記念商品 決闘者の栄光 － 記憶の断片 － side：闇遊戯,5,SE (シークレットレア仕様)
4007,15AX-JPY07,15周年記念商品 決闘者の栄光 － 記憶の断片 － side：闇遊戯,26,M (ミレニアム仕様)
4007,TRC1-JP000,THE RARITY COLLECTION,7,HR (ホログラフィックレア仕様)
4007,SD25-JP001,ストラクチャーデッキ － 青眼龍轟臨 －,4,UR (ウルトラレア仕様)
4007,VJMP-JP080,Vジャンプ 2013年 7月号 付録カード,4,UR (ウルトラレア仕様)
4007,SD22-JP004,ストラクチャーデッキ － ドラゴニック・レギオン －,1,N (ノーマル仕様)
4007,BE01-JP089,BEGINNER'S EDITION 1 [ 2011 ],4,UR (ウルトラレア仕様)
4007,MFC3-JP001,モンスターフィギュアコレクション Volume 3,1,N (ノーマル仕様)
4007,YAP1-JP001,ANNIVERSARY PACK,4,UR (ウルトラレア仕様)
4007,DT01-JP001,デュエルターミナル 「シンクロ覚醒！！」,3,SR (スーパーレア仕様)
4007,BE1-JP098,BEGINNER'S EDITION 1,4,UR (ウルトラレア仕様)
4007,SK2-001,ストラクチャーデッキ － 海馬編 － Volume 2,1,N (ノーマル仕様)
4007,JMP-001,週刊少年ジャンプ 2003年 3・4号 付録カード,4,UR (ウルトラレア仕様)
4007,DL2-001,DUELIST LEGACY Volume 2,4,UR (ウルトラレア仕様)
4007,DL2-001,DUELIST LEGACY Volume 2,11,P+UR (パラレル仕様ウルトラレア)
4007,KA-03,ストラクチャーデッキ － 海馬編 －,1,N (ノーマル仕様)
4007,KA-04,ストラクチャーデッキ － 海馬編 －,1,N (ノーマル仕様)
4007,KA-05,ストラクチャーデッキ － 海馬編 －,1,N (ノーマル仕様)
4007,SM-51,Spell Of Mask － 仮面の呪縛 －,6,UL (アルティメットレア仕様)
4007,EX-49,EX-R [ 二人対戦用構築済みデッキセット ],4,UR (ウルトラレア仕様)
4007,LB-01,青眼の白龍伝説 － Legend of BlueEyesWhiteDragon －,4,UR (ウルトラレア仕様)
4007,,EX,4,UR (ウルトラレア仕様)
4007,,Vジャンプフェスタ 1999 プロモーションカード,5,SE (シークレットレア仕様)
4007,,STARTER BOX,4,UR (ウルトラレア仕様)
4007,,STARTER BOX 劇場限定版,4,UR (ウルトラレア仕様)
